inventory_id,extension,status,method,conversion_quality,raw_output_path_ignored,sanitized_note
SRC-000001,,not-convertible,metadata-only,not-applicable,,
SRC-000002,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000002.txt,docs/00-source-notes/src-000002.md
SRC-000003,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000003.txt,docs/00-source-notes/src-000003.md
SRC-000004,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000004.txt,docs/00-source-notes/src-000004.md
SRC-000005,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000005.txt,docs/00-source-notes/src-000005.md
SRC-000006,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000006.txt,docs/00-source-notes/src-000006.md
SRC-000007,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000007.txt,docs/00-source-notes/src-000007.md
SRC-000008,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000008.txt,docs/00-source-notes/src-000008.md
SRC-000009,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000009.txt,docs/00-source-notes/src-000009.md
SRC-000010,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000010.txt,docs/00-source-notes/src-000010.md
SRC-000011,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000011.txt,docs/00-source-notes/src-000011.md
SRC-000012,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000012.txt,docs/00-source-notes/src-000012.md
SRC-000013,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000013.txt,docs/00-source-notes/src-000013.md
SRC-000014,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000014.txt,docs/00-source-notes/src-000014.md
SRC-000015,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000015.txt,docs/00-source-notes/src-000015.md
SRC-000016,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000016.txt,docs/00-source-notes/src-000016.md
SRC-000017,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000017.txt,docs/00-source-notes/src-000017.md
SRC-000018,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000018.txt,docs/00-source-notes/src-000018.md
SRC-000019,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000019.txt,docs/00-source-notes/src-000019.md
SRC-000020,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000020.txt,docs/00-source-notes/src-000020.md
SRC-000021,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000021.txt,docs/00-source-notes/src-000021.md
SRC-000022,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000022.txt,docs/00-source-notes/src-000022.md
SRC-000023,.png,not-convertible,metadata-only,not-applicable,,
SRC-000024,.png,not-convertible,metadata-only,not-applicable,,
