inventory_id,relative_path,filename,extension,mime_type,size_bytes,modified_utc,sha256,year,programme,functional_area,document_status,sensitivity,proposed_action,conversion_priority,notes,path_hash
SRC-000001,Journey - Boys - Paul/.DS_Store,.DS_Store,,application/octet-stream,8196,2026-07-13T19:33:01+00:00,a041fc5138cbf782af7a495343180471318d19413b891df72a70b0e462efe01b,,Boys,Other,source,internal-source,Catalogue and review for future use.,low,,PATH-43F1C17EBF40F094
SRC-000002,Journey - Boys - Paul/1. Planning and Onboarding/Equipment sheet.xlsx,Equipment sheet.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,61812,2026-01-26T08:37:54+00:00,2b2669de17aa04c75fafee1fc0a543f8ffe5b0552764a2082e8d19f3b548b13e,,Boys,Equipment,source,internal-source,Convert to sanitized reference note.,medium,,PATH-A699AC11C99B95BA
SRC-000003,Journey - Boys - Paul/1. Planning and Onboarding/Journey Roles.pptx,Journey Roles.pptx,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,168612,2026-01-16T21:48:00+00:00,f8714a2448796aa773e6ba4b89c0a135997235caff8b7a041e209b1da9eaa158,,Boys,Roles,source,internal-source,Convert to sanitized reference note.,medium,,PATH-939A3C95A1662991
SRC-000004,Journey - Boys - Paul/1. Planning and Onboarding/TJ26-1 Information Session.pptx,TJ26-1 Information Session.pptx,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,17638855,2026-01-22T03:17:00+00:00,562f7d3710aab2b5b19d82c854fccf295a24380492cc14f199b4cb0de32f3663,2026,Boys,Weekly sessions,source,internal-source,Convert to sanitized reference note.,high,,PATH-6CC46228B95FEA11
SRC-000005,REDACTED-SENSITIVE-SOURCE/SRC-000005.docx,REDACTED-SENSITIVE-FILENAME.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,817274,2026-01-23T01:39:00+00:00,fe5594fccce08365ad0a1b1a5226d707d1f6eceb0ee07c72821879ff7bd5e184,2026,Boys,Onboarding,source,restricted-source,Keep source private; use only redacted summary or synthetic template.,high,"Likely contains personal, financial or private operational data; committed path is redacted.",PATH-676AB826584450D1
SRC-000006,REDACTED-SENSITIVE-SOURCE/SRC-000006.xlsx,REDACTED-SENSITIVE-FILENAME.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,8014705,2026-06-12T04:49:18+00:00,3852ec17cc412b7176fa76d3f539054c477d76ec8995fdddac49a87644eddb0a,2026,Boys,Administration,source,restricted-source,Keep source private; use only redacted summary or synthetic template.,review,"Likely contains personal, financial or private operational data; committed path is redacted.",PATH-B19CE0FDDC79D8DD
SRC-000007,Journey - Boys - Paul/2. Sessions/5. Dads Talk - Identity 2.pptx,5. Dads Talk - Identity 2.pptx,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,18997529,2026-02-26T22:20:32+00:00,3809127e0a39f3edc870e88926e95cd31b57f3e69e75c17ad81484bb0abefb0d,,Boys,Weekly sessions,source,internal-source,Convert to sanitized reference note.,high,,PATH-1762E0DC7BDAA2F4
SRC-000008,Journey - Boys - Paul/2. Sessions/Dads Talk Workbook - April 2024.pdf,Dads Talk Workbook - April 2024.pdf,.pdf,application/pdf,13444997,2026-02-15T21:01:34+00:00,9209cf618345309a8b952601593abf1daa92aa79baa84acedd945cb1e864e66e,2024,Historical,Weekly sessions,historical-example,internal-source,Convert to sanitized reference note.,high,,PATH-753B454034E48369
SRC-000009,Journey - Boys - Paul/2. Sessions/JOURNEY DTS PLAYBOOK.xlsx,JOURNEY DTS PLAYBOOK.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,149461,2026-01-16T20:57:50+00:00,8a6518ebd5feb599ab9ebc68f0c26068af9ea9267b04c2e7aceb975768086cb9,,Boys,Weekly sessions,source,internal-source,Convert to sanitized reference note.,high,,PATH-899A3D644C8BD95F
SRC-000010,Journey - Boys - Paul/2. Sessions/Mom Prep Video URLs.docx,Mom Prep Video URLs.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,10993,2026-03-09T05:26:38+00:00,78ad887d9b73d94d84c41410f5124620a10b4225235202dc0e8f2c860cd6d993,,Boys,Weekly sessions,source,internal-source,Convert to sanitized reference note.,high,,PATH-6ABBC5E1A34C288E
SRC-000011,Journey - Boys - Paul/2. Sessions/Mother Father Wounds Revealed and healed.pdf,Mother Father Wounds Revealed and healed.pdf,.pdf,application/pdf,97603,2024-05-27T10:51:28+00:00,22fce663ddd5a8c3c21e8ec961eca7392ace9b1f4b6d34d20f45d8d2bab8aa31,,Boys,Weekly sessions,source,internal-source,Convert to sanitized reference note.,high,,PATH-06CE6206BB5F18A2
SRC-000012,Journey - Boys - Paul/2. Sessions/Rewiring Homework for dads.docx,Rewiring Homework for dads.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,141438,2026-03-09T05:40:48+00:00,897bc61b734f1ca55ec8e27b01f8c49258248e3b5d798fd4c58b1698cd5437f4,,Boys,Weekly sessions,source,internal-source,Convert to sanitized reference note.,high,,PATH-DF6F04935F9AE567
SRC-000013,Journey - Boys - Paul/2. Sessions/TJ26-1 Boys ROP.pptx,TJ26-1 Boys ROP.pptx,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,10564563,2026-03-29T09:14:44+00:00,d602a006df393326c70c3b8020b91a6d6a4a447eba7d21c4956826b651996794,2026,Boys,Rite of passage,source,internal-source,Convert to sanitized reference note.,high,,PATH-C5791469AF0D2EC2
